NP-ID,molecular_name,molecular_formula,MW,XLogP,SMILES,InChIKey,Murcko_scaffold,Morgan_onbits_r2_n2048,id,p_antagonist,is_top_hit,UMAP1,UMAP2,density,inside_training_space
CNP0411892,,[C31H34O20]+,726.5908969818923,-4.648849999999991,O=C1CC(O)C(=O)OCC2OC(O[C]3[CH][C](O)[CH][C]4[OH+][C]([C]5[CH][C](O)[C](O)[C](O)[CH]5)[C]([CH][C]34)OC3OC(CO1)C(O)C(O)C3O)C(O)C(O)C2O,MLUJERGTWARXJE-UHFFFAOYSA-N,O=C1CCC(=O)OCC2CCCC(O[C]3[CH][C]4[C]([CH][CH][CH][C]4[OH+][C]3[C]3[CH][CH][CH][CH][CH]3)OC3CCCC(CO1)O3)O2,"[21, 56, 76, 117, 129, 200, 206, 231, 251, 298, 314, 441, 471, 481, 526, 634, 650, 656, 664, 730, 737, 743, 750, 757, 807, 842, 893, 907, 909, 924, 926, 941, 970, 1002, 1013, 1017, 1019, 1037, 1099, 1136, 1213, 1257, 1324, 1380, 1435, 1487, 1602, 1625, 1651, 1733, 1741, 1794, 1819, 1852, 1873, 1921, 1923, 2004, 2015]",345383,0.9999720006199552,True,5.824404,8.150581,0.006231804762411931,True
CNP0295300,,C31H60O3,480.8074728126834,9.6679,CCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCCC(O)CCCCC,VDFZFEALQJFOTL-UHFFFAOYSA-N,,"[1, 67, 80, 227, 229, 294, 421, 591, 619, 650, 739, 794, 807, 1057, 1143, 1152, 1267, 1283, 1432, 1444, 1564, 1760, 1911, 1917, 2038]",239489,0.99997195633226,True,8.640958,9.361603,0.005344658461387168,True
CNP0280509,,C31H60O3,480.8074728126834,9.6679,CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCC(O)CCCCCC,GBFWTDXFVKOGIH-UHFFFAOYSA-N,,"[1, 67, 80, 227, 229, 294, 421, 591, 619, 650, 739, 794, 807, 1057, 1143, 1152, 1267, 1283, 1432, 1444, 1564, 1760, 1911, 1917, 2038]",225964,0.99997195633226,True,8.640958,9.361603,0.005344658461387168,True
CNP0319359,,C31H60O3,480.8074728126834,9.6679,CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCC(O)CCCCCCCC,ZGONWFMEEDRAIY-UHFFFAOYSA-N,,"[1, 67, 80, 227, 229, 294, 421, 591, 619, 650, 739, 794, 807, 1057, 1143, 1152, 1267, 1283, 1432, 1444, 1564, 1760, 1911, 1917, 2038]",261491,0.99997195633226,True,8.640958,9.361603,0.005344658461387168,True
CNP0147548,,C31H60O3,480.8074728126834,9.6679,CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCC(O)CCCCCCC,RQAJGXOXTHUITK-UHFFFAOYSA-N,,"[1, 67, 80, 227, 229, 294, 421, 591, 619, 650, 739, 794, 807, 1057, 1143, 1152, 1267, 1283, 1432, 1444, 1564, 1760, 1911, 1917, 2038]",104831,0.99997195633226,True,8.640958,9.361603,0.005344658461387168,True
CNP0180917,,C31H60O3,480.8074728126834,9.6679,CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCC(O)CCCCC,YFMWURPXFRYYJV-UHFFFAOYSA-N,,"[1, 67, 80, 227, 229, 294, 421, 591, 619, 650, 739, 794, 807, 1057, 1143, 1152, 1267, 1283, 1432, 1444, 1564, 1760, 1911, 1917, 2038]",135107,0.99997195633226,True,8.640958,9.361603,0.005344658461387168,True
CNP0139048,,C31H60O3,480.8074728126834,9.6679,CCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCC(O)CCCCCC,MBWYKVFQDJGFDD-UHFFFAOYSA-N,,"[1, 67, 80, 227, 229, 294, 421, 591, 619, 650, 739, 794, 807, 1057, 1143, 1152, 1267, 1283, 1432, 1444, 1564, 1760, 1911, 1917, 2038]",97115,0.99997195633226,True,8.640958,9.361603,0.005344658461387168,True
CNP0102900,,C18H14O6,326.30084626116144,3.2472000000000003,CC1(C)C=Cc2cc3c(=O)c4c(O)cc(O)cc4oc3c(O)c2O1,WBKWHYDUDXOZIU-UHFFFAOYSA-N,O=c1c2ccccc2oc2cc3c(cc12)C=CCO3,"[6, 53, 54, 133, 167, 202, 314, 397, 472, 501, 525, 547, 618, 650, 656, 665, 745, 754, 787, 807, 875, 882, 917, 924, 1057, 1060, 1146, 1181, 1195, 1274, 1282, 1294, 1357, 1380, 1448, 1486, 1570, 1602, 1604, 1607, 1808, 1873, 1886, 1984]",64539,0.999971955251176,True,5.864923,5.580258,0.005533457490237419,True
CNP0131941,,C15H22O2,234.3345448911261,3.425600000000002,CC1=CCC(C2(C)OC(C)(C)C=CC2=O)CC1,WIMVWRJFIQGEJA-UHFFFAOYSA-N,O=C1C=CCOC1C1CC=CCC1,"[21, 33, 53, 58, 67, 279, 314, 528, 547, 598, 650, 656, 729, 787, 835, 872, 873, 926, 1019, 1057, 1060, 1146, 1274, 1281, 1325, 1380, 1722, 1730, 1738, 1781, 1812, 1873, 1925, 1979, 1990]",90678,0.9999719288908904,True,4.678924,3.274,0.004678209811417878,True
CNP0174223,,C44H76O4,669.0734964597094,11.364099999999992,CCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(CO)C(O)CC23C)C1(C)C,XNISEDFMZDXUFQ-UHFFFAOYSA-N,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,"[22, 74, 80, 218, 222, 249, 267, 294, 409, 418, 478, 549, 555, 574, 591, 598, 600, 650, 679, 682, 695, 760, 781, 794, 807, 889, 904, 926, 937, 965, 1019, 1057, 1060, 1126, 1143, 1162, 1257, 1264, 1267, 1274, 1325, 1332, 1380, 1386, 1399, 1413, 1436, 1444, 1477, 1487, 1546, 1564, 1573, 1715, 1753, 1781, 1873, 1881, 1887, 1911, 1917, 1950, 1951, 1962, 2005, 2034]",129019,0.9999718731723516,True,8.678742,9.017308,0.00511091169373496,True
