NP-ID,molecular_name,molecular_formula,MW,XLogP,SMILES,InChIKey,Murcko_scaffold,p_antagonist,is_top_hit,UMAP1,UMAP2
CNP0231731,,C35H38N2O12,678.6837705778645,1.6630999999999991,CNCc1cc(OC)c(OC)c2c1C1COc3c4c(cc(-c5cccc(O)c5)c3C1O2)OC1(C=C4)OC(CNC)(C(=O)O)C(O)C(O)C1O,YOJFJROJNBUMNQ-UHFFFAOYSA-N,C1=CC2(CCCCO2)Oc2cc(-c3ccccc3)c3c(c21)OCC1c2ccccc2OC31,0.9733055227906172,False,6.498286,9.933236
CNP0365660,,C16H12O7,316.2628978875032,2.3726200000000004,COc1cc(C)c(O)c2oc3ccc(O)c(C(=O)O)c3c(=O)c12,WNNZOICLHAOLHA-UHFFFAOYSA-N,O=c1c2ccccc2oc2ccccc12,0.9723084979463508,False,6.19782,8.85905
CNP0168228,,C33H44N2O7,580.7129186693962,4.248000000000003,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CON=C1C=C2CCC3C(CCC4(C)C3CCC4(O)C(C)=O)C2(C)CC1,XEFDQOVOXZCKIH-UHFFFAOYSA-N,O=C(CON=C1C=C2CCC3C4CCCC4CCC3C2CC1)NCCc1ccccc1,0.0003936947648941,False,-8.455342,13.971737
CNP0403849,,C23H25N3O6,439.461983658293,1.9834,COc1ccc(CCNC(=O)CCC2NC(=O)N(Cc3ccc4c(c3)OCO4)C2=O)cc1,AOGNVPQRXVHREZ-UHFFFAOYSA-N,O=C(CCC1NC(=O)N(Cc2ccc3c(c2)OCO3)C1=O)NCCc1ccccc1,0.0041915214293923,False,4.5003405,9.581216
CNP0140027,,C37H38O14,706.6906458125073,5.230900000000005,COc1cc(C2Oc3cc(OC(=O)c4cc(OC)c(OC)c(OC)c4)cc(OC)c3CC2O)ccc1OC(=O)c1cc(OC)c(OC)c(OC)c1,KGBUGUDDNLXVNA-UHFFFAOYSA-N,O=C(Oc1ccc(C2CCc3ccc(OC(=O)c4ccccc4)cc3O2)cc1)c1ccccc1,2.949171080990808e-07,False,6.0755224,8.832371
CNP0219031,,C9H10O3,166.17424539205808,1.6034,COc1cc(C(C)=O)ccc1O,DFYRUELUNQRZTB-UHFFFAOYSA-N,c1ccccc1,0.0737033740734936,False,6.0866055,8.798727
CNP0325417,,C15H32N2O2S2,336.55952882953204,3.1479000000000017,CSCCCCCCNC(=O)NCCCCCCS(C)=O,QOIKVUAQMGLXCY-UHFFFAOYSA-N,,0.9004024633580102,False,5.728934,8.794677
CNP0018294,,C26H27Cl2N3O2,484.418328302399,5.799000000000005,COC(=CC=Cc1cc2cc(Cl)c(Cl)cc2[nH]1)C(=O)NC1CCN(Cc2ccccc2)CC1,GPKUZSWJRMFSGV-UHFFFAOYSA-N,O=C(C=CC=Cc1cc2ccccc2[nH]1)NC1CCN(Cc2ccccc2)CC1,0.9966770433224172,False,3.585476,7.3701262
CNP0314559,,C11H15NO2,193.24271923422964,1.3886999999999998,COc1cc2c(cc1O)CN(C)CC2,FELOSQQXIHRUSH-UHFFFAOYSA-N,c1ccc2c(c1)CCNC2,0.0007675405282954,False,6.851397,8.620743
CNP0167065,,C32H43NO6,537.6881338841772,3.516300000000003,COc1cc2c(cc1O)C(CCO)C#CC(C(O)CCC1CCC3C(CNC4CC(=O)CCC43)C1)C(=O)CC2,TVAAHWCMPVUJCK-UHFFFAOYSA-N,O=C1CCC2C(C1)NCC1CC(CCCC3C#CCc4ccccc4CCC3=O)CCC12,0.9810142778066892,False,20.314863,9.230201
CNP0021149,,C25H37NO5,431.56593315613713,4.265500000000004,COC1=C(C)C(=O)OC1=C1OC2=CCCN3C(C(O)CCC(C)C)CCCC3C2C1C,MCABARJUVJPHBZ-UHFFFAOYSA-N,O=C1C=CC(=C2CC3C(=CCCN4CCCCC34)O2)O1,1.0259007062703387e-07,False,8.958383,4.997173
CNP0379390,,C33H40O16,692.6623935881457,-0.6085999999999991,COc1ccc(-c2oc3c(CC=C(C)C)c(OC4OC(CO)C(OC5OC(CO)C(O)C(O)C5O)C(O)C4O)cc(O)c3c(=O)c2O)cc1,NKVYGZFNIPERMA-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2cc(OC3CCC(OC4CCCCO4)CO3)ccc12,0.0002994758583565,False,4.285947,8.10093
CNP0011283,,C21H20N4O4,392.4087014474853,2.6405000000000003,CN1CC(NC(=O)c2ccc3c(c2)OCO3)CC1c1nc(-c2ccccc2)no1,OGSOAESCMUTTOP-UHFFFAOYSA-N,O=C(NC1CNC(c2nc(-c3ccccc3)no2)C1)c1ccc2c(c1)OCO2,0.0021534098101606,False,4.55269,9.580549
CNP0334859,,C45H78N2O13,855.1081646263453,3.582300000000007,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(C=O)CC(C)C(OC2CCC(N(C)C)C(C)O2)/C=C\C(C)=C\C1C,GWKAVECDTAHQQC-QENAVDQESA-N,O=C1CCCC(OC2CCC(OC3CCCCO3)CO2)CCCC(OC2CCCCO2)C=CC=CCCO1,2.441939210553004e-06,False,3.3909342,4.8166804
CNP0080759,,C26H33NO9,503.5425257478996,3.580820000000002,CCOC(=O)CCCN=C(C)C1=C(O)C2(C)c3c(O)c(C)c(O)c(C(C)=O)c3OC2(OCC)CC1=O,TXCOOEZSXVVCSB-UHFFFAOYSA-N,O=C1C=CC2c3ccccc3OC2C1,0.0020009834018394,False,1.4643711,6.1829605
CNP0380199,,C21H30ClN3O2,391.9355335017524,3.133300000000002,CC(C)(C)C(=O)N1CCN2C(CN(C(=O)c3ccc(Cl)cc3)CC2(C)C)C1,OFLMLNWFKGSKIN-UHFFFAOYSA-N,O=C(c1ccccc1)N1CCN2CCNCC2C1,0.4196737691765166,False,3.3316104,11.334665
CNP0149493,,C52H98N16O13,1155.4359758788814,3.4118000000000084,CC(C)CCCCC(O)=NC(CCN)C(O)=NC(C(O)=NC(CCN)C(O)=NC1CC/N=C(\O)C(C(C)O)/N=C(\O)C(CCN)/N=C(\O)C(CCN)/N=C(\O)C(CC(C)C)/N=C(\O)C(CC(C)C)/N=C(\O)C(CCN)/N=C/1O)C(C)O,KNIWPHSUTGNZST-UHFFFAOYSA-N,C1=NCC=NCC=NCC=NCC=NCC=NCC=NCCC1,2.131295907147803e-09,False,3.5010552,4.3109145
CNP0329420,,C21H22N8O4,450.4513957832809,-0.7695999999999981,NC(=O)c1nnn(C2CCN3C(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C3C2)c1C(N)=O,IJSZIMUCFBQRBK-UHFFFAOYSA-N,O=C1NC(Cc2c[nH]c3ccccc23)C(=O)N2CCC(n3ccnn3)CC12,0.1100668227200017,False,1.2161821,8.167711
CNP0413014,,C21H24N2O3,352.4276531211471,2.9148000000000014,CC=C1C(O)OCC2(C)C(=O)N3CCc4c([nH]c5ccccc45)C3CC12,RKNFTDYAQCNESB-UHFFFAOYSA-N,C=C1COCC2C(=O)N3CCc4c([nH]c5ccccc45)C3CC12,0.0040048387240558,False,5.377024,6.999066
CNP0154312,,C24H30O8,446.4911235582408,1.1121999999999992,CC(=O)OC1C(O)C2=C3C4(C)C1C(C)(C)C(=O)CC4C3(O)C(OC(C)=O)C1(CC1C)C2=O,KJZXTHWPZAGWHW-UHFFFAOYSA-N,O=C1CC2CCC3=C4C(CC5(CC5)C3=O)C(C1)C42,0.0162369634651732,False,6.511974,-0.6652802
CNP0200572,,C19H32O2,292.456896016536,3.7509000000000032,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O,CBMYJHIOYJEBSB-UHFFFAOYSA-N,C1CCC2C(C1)CCC1C3CCCC3CCC21,0.6938443649983902,False,5.973202,3.5814092
CNP0206506,,C30H50O3,458.7173293776376,5.966400000000008,CC(C)C1CC(O)C2C1(C)CCC1C2(C)CC=C2C3(C)CCC(O)C(C)(C)C3CC(O)C21C,MXOISZMCDMDYPR-UHFFFAOYSA-N,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,0.9881495864189036,False,8.740146,4.3412657
CNP0073815,,C8H6O5,182.13055633510567,0.1561999999999999,O=C(O)c1cc(O)c(O)cc(=O)c1,ZGKNMKBZOSTFCB-UHFFFAOYSA-N,O=c1cccccc1,0.5355967516275175,False,6.6894083,7.5220594
CNP0230909,,C21H16O6,364.3489354591769,3.326600000000001,O=C1c2cc(O)cc(O)c2C(c2cc(O)cc(O)c2)C1c1ccc(O)cc1,BADTYSQKXNDGFG-UHFFFAOYSA-N,O=C1c2ccccc2C(c2ccccc2)C1c1ccccc1,2.235705106930662e-05,False,4.6779423,11.414241
CNP0185953,,C28H36N4O4S2,556.7430747722899,3.4738200000000017,CSCCC(NC(=O)C1CCN(S(=O)(=O)c2ccc(C)cc2)CC1)C(=O)NCCc1c[nH]c2ccccc12,YVWNCHQJIKUGDZ-UHFFFAOYSA-N,O=C(CNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1)NCCc1c[nH]c2ccccc12,0.1447195149603145,False,6.302473,6.239747
CNP0476263,,C18H17N2O4,325.339265081572,-1.260149999999998,CO[C]1[CH][CH][C]2[NH2+][C](C)[CH][C](N[C]3[CH][CH][C](C(=O)[O-])[C](O)[CH]3)[C]2[CH]1,YNTREAFSTSTJPL-UHFFFAOYSA-M,[CH]1[CH][CH][C](N[C]2[CH][CH][NH2+][C]3[CH][CH][CH][CH][C]23)[CH][CH]1,0.0020565643119522,False,6.340646,8.978586
CNP0081214,,C27H46N2O,414.6679552309036,4.984000000000004,CC1CNC2C(C1)OC1CC3C4CCC5CC(N)CCC5(C)C4CCC3(C)C1C2C,MJLSQBTUGWSIFX-UHFFFAOYSA-N,C1CCC2C(C1)CCC1C2CCC2C3CC4NCCCC4OC3CC21,0.2868296313691925,False,4.622654,3.4112728
CNP0259338,,C31H56O7S,572.8394145006959,8.05010000000001,CCCCCCCCC(O)C(O)CCCCCCCCCCCCCCCc1cc(O)cc(OS(=O)(=O)O)c1,WCKTYVLAIUWOQF-UHFFFAOYSA-N,c1ccccc1,0.258227019051963,False,10.23555,8.512598
CNP0460924,,C33H49N9O13S,811.8620594462317,-4.331700000000006,NCCCCNC(=O)C(CCCN(O)C=O)NC(=O)C(CO)NC(=O)C(NC(=O)C(CCC[NH+]([O-])Cc1csc(-c2ccccc2O)n1)NC=O)C(O)C(=O)O,OULNPVFDCPVEEV-UHFFFAOYSA-N,c1ccc(-c2nccs2)cc1,4.514623371411924e-05,False,9.897765,9.935805
CNP0042378,,C100H158O49,2144.299070234175,-6.959900000000061,C=CC(C)(O)CCC=C(C)C(=O)OC1COC(OC(C)(C=C)CCC=C(C)C(=O)OC2CC3(C(=O)OC4OC(CO)C(O)C(O)C4OC4OC(C)C(OC5OC(CO)C(O)C5O)C(OC5OC(CO)C(O)C(O)C5O)C4O)C(O)CC4(C)C(=CCC5C6(C)CCC(OC7OC(COC8OCC(O)C(O)C8OC8OCC(O)C(O)C8O)C(O)C(O)C7OC7OC(CO)C(O)C(O)C7O)C(C)(C)C6CCC54C)C3CC2(C)C)C(O)C1O,KZDROHNSZUSTNN-UHFFFAOYSA-N,O=C(C=CCCCOC1CCCCO1)OC1CCC2C3=CCC4C5CCC(OC6OC(COC7OCCCC7OC7CCCCO7)CCC6OC6CCCCO6)CC5CCC4C3CCC2(C(=O)OC2OCCCC2OC2CC(OC3CCCCO3)C(OC3CCCO3)CO2)C1,2.283877728498846e-09,False,4.4557815,-5.128861
CNP0391639,,C23H19N3O4,401.4155292801996,4.603640000000003,Cc1coc2cc3oc(=O)c(CCC(=O)Nc4nc5ccccc5[nH]4)c(C)c3cc12,HOFDDUYEIDYVRW-UHFFFAOYSA-N,O=C(CCc1cc2cc3ccoc3cc2oc1=O)Nc1nc2ccccc2[nH]1,0.775327867924388,False,11.933906,8.120282
CNP0052150,,C22H15BrO2,391.2576388627116,6.197920000000003,Cc1ccc2oc(=O)c(-c3cccc(Br)c3)c(-c3ccccc3)c2c1,ZQWYTIFOSBLXBC-UHFFFAOYSA-N,O=c1oc2ccccc2c(-c2ccccc2)c1-c1ccccc1,0.0273075172524635,False,6.584615,10.990641
CNP0386327,,C17H24O2,260.3718981923537,4.330600000000003,COc1cccc(C2CC3CCC2(C)C3(C)C)c1O,YPUMYHHWYPOEPH-UHFFFAOYSA-N,c1ccc(C2CC3CCC2C3)cc1,0.0122904806571982,False,5.643614,7.7514167
CNP0350384,,C29H46O4,458.6742353931158,5.497700000000006,CC(C)=CC(=O)CC(C)(O)C1CCC2(C)C1CC(O)C1C3(C)CC(=O)C(C)(C)C3CCC12C,DSORWRVACUTNPS-UHFFFAOYSA-N,O=C1CC2CCC3C4CCCC4CCC3C2C1,0.1076716785050016,False,4.251232,6.219211
CNP0127366,,C29H40O12,580.6218302907163,1.1919999999999995,COc1cc2c(c(OC)c1O)C(c1cc(OC)c(OC)c(OC)c1)C(COC1OC(C)C(O)C(O)C1O)C(CO)C2,NFUVRQHCPFLGJR-UHFFFAOYSA-N,c1ccc(C2c3ccccc3CCC2COC2CCCCO2)cc1,2.842602322384179e-11,False,5.926977,8.792493
CNP0080339,,C38H52O11,684.8143374801482,6.374000000000007,C=CC(=C)CCC1(C)C(C)C(OC(=O)C=CC=CCCCCC)C(OC(C)=O)C23C(=CC(OC(C)=O)CC12)C(OC(C)=O)OC3OC(C)=O,AFXBWHVQHRYSGA-UHFFFAOYSA-N,C1=C2COCC23CCCCC3CC1,0.0008017630237533,False,8.487685,9.269991
CNP0174496,,C19H20O2,280.3616069706265,3.652700000000003,O=C(C=Cc1ccccc1)CC(O)CCc1ccccc1,OUAINJWTDRNZIJ-UHFFFAOYSA-N,O=C(C=Cc1ccccc1)CCCCc1ccccc1,0.0033514994417294,False,6.9786544,4.4612193
