dataset,n,prevalence,roc_auc,pr_auc,mcc,bal_acc,brier,tp,tn,fp,fn
OOF,1822,0.7974753018660812,0.9803117370471709,0.9951023422349949,0.8297443990614728,0.9214315955960661,0.043737465375420385,1394,326,43,59
Held-out test,446,0.7511210762331838,0.9704450719376092,0.988894571119894,0.811842607359852,0.9206265967459997,0.05255064822828813,312,101,10,23
